genotype,traitement,temps,germination,total
SL101,D,0,0,40
A12,C,0,0,39
SL101,D,0,0,39
A12,C,0,0,39
SL101,H,0,0,39
SL101,C,0,0,39
A12,H,0,0,40
SL101,D,0,0,40
A12,D,0,0,39
SL101,H,0,0,39
A12,H,0,0,39
SL101,C,0,0,40
A12,C,0,0,40
A12,D,0,0,40
SL101,H,0,0,39
A12,H,0,0,40
SL101,C,0,0,40
A12,D,0,0,40
SL101,D,24,0,40
A12,C,24,0,39
SL101,D,24,0,39
A12,C,24,0,39
SL101,H,24,0,39
SL101,C,24,0,39
A12,H,24,0,40
SL101,D,24,0,40
A12,D,24,0,39
SL101,H,24,0,39
A12,H,24,0,39
SL101,C,24,0,40
A12,C,24,0,40
A12,D,24,0,40
SL101,H,24,0,39
A12,H,24,0,40
SL101,C,24,0,40
A12,D,24,0,40
SL101,D,67,6,40
A12,C,67,0,39
SL101,D,67,2,39
A12,C,67,0,39
SL101,H,67,9,39
SL101,C,67,14,39
A12,H,67,16,40
SL101,D,67,18,40
A12,D,67,2,39
SL101,H,67,12,39
A12,H,67,15,39
SL101,C,67,17,40
A12,C,67,2,40
A12,D,67,1,40
SL101,H,67,11,39
A12,H,67,6,40
SL101,C,67,4,40
A12,D,67,1,40
SL101,D,96,26,40
A12,C,96,4,39
SL101,D,96,14,39
A12,C,96,3,39
SL101,H,96,25,39
SL101,C,96,28,39
A12,H,96,28,40
SL101,D,96,35,40
A12,D,96,12,39
SL101,H,96,25,39
A12,H,96,31,39
SL101,C,96,30,40
A12,C,96,15,40
A12,D,96,15,40
SL101,H,96,27,39
A12,H,96,24,40
SL101,C,96,33,40
A12,D,96,16,40
SL101,D,146,37,40
A12,C,146,29,39
SL101,D,146,31,39
A12,C,146,14,39
SL101,H,146,29,39
SL101,C,146,33,39
A12,H,146,29,40
SL101,D,146,38,40
A12,D,146,26,39
SL101,H,146,28,39
A12,H,146,33,39
SL101,C,146,32,40
A12,C,146,22,40
A12,D,146,21,40
SL101,H,146,27,39
A12,H,146,25,40
SL101,C,146,36,40
A12,D,146,32,40
SL101,D,170,38,40
A12,C,170,33,39
SL101,D,170,32,39
A12,C,170,16,39
SL101,H,170,29,39
SL101,C,170,33,39
A12,H,170,30,40
SL101,D,170,38,40
A12,D,170,28,39
SL101,H,170,29,39
A12,H,170,33,39
SL101,C,170,33,40
A12,C,170,27,40
A12,D,170,29,40
SL101,H,170,28,39
A12,H,170,28,40
SL101,C,170,38,40
A12,D,170,40,40
SL101,D,201,38,40
A12,C,201,33,39
SL101,D,201,32,39
A12,C,201,17,39
SL101,H,201,29,39
SL101,C,201,34,39
A12,H,201,30,40
SL101,D,201,38,40
A12,D,201,29,39
SL101,H,201,29,39
A12,H,201,33,39
SL101,C,201,33,40
A12,C,201,27,40
A12,D,201,33,40
SL101,H,201,29,39
A12,H,201,29,40
SL101,C,201,38,40
A12,D,201,40,40
SL101,D,261,40,40
A12,C,261,33,39
SL101,D,261,32,39
A12,C,261,17,39
SL101,H,261,29,39
SL101,C,261,34,39
A12,H,261,30,40
SL101,D,261,38,40
A12,D,261,29,39
SL101,H,261,29,39
A12,H,261,33,39
SL101,C,261,33,40
A12,C,261,27,40
A12,D,261,33,40
SL101,H,261,30,39
A12,H,261,29,40
SL101,C,261,38,40
A12,D,261,40,40
SL101,D,310,40,40
A12,C,310,33,39
SL101,D,310,32,39
A12,C,310,17,39
SL101,H,310,29,39
SL101,C,310,34,39
A12,H,310,30,40
SL101,D,310,38,40
A12,D,310,29,39
SL101,H,310,29,39
A12,H,310,33,39
SL101,C,310,33,40
A12,C,310,27,40
A12,D,310,33,40
SL101,H,310,30,39
A12,H,310,29,40
SL101,C,310,38,40
A12,D,310,40,40
SL101,D,356,40,40
A12,C,356,33,39
SL101,D,356,32,39
A12,C,356,17,39
SL101,H,356,29,39
SL101,C,356,34,39
A12,H,356,30,40
SL101,D,356,39,40
A12,D,356,29,39
SL101,H,356,29,39
A12,H,356,33,39
SL101,C,356,33,40
A12,C,356,27,40
A12,D,356,33,40
SL101,H,356,31,39
A12,H,356,29,40
SL101,C,356,38,40
A12,D,356,40,40
SL101,D,498,40,40
A12,C,498,33,39
SL101,D,498,32,39
A12,C,498,19,39
SL101,H,498,29,39
SL101,C,498,34,39
A12,H,498,31,40
SL101,D,498,38,40
A12,D,498,29,39
SL101,H,498,29,39
A12,H,498,33,39
SL101,C,498,34,40
A12,C,498,27,40
A12,D,498,33,40
SL101,H,498,31,39
A12,H,498,29,40
SL101,C,498,38,40
A12,D,498,40,40
